
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e4
                  X               4_aplic            4_apoio             _aplic     

              257.503E-03         93.0394           -93.0234             3.94922E-03
              258.751E-03         94.1837           -94.1679             3.99781E-03
              260.002E-03         95.3382           -95.3223             4.04685E-03
              261.253E-03         96.4999           -96.484              4.09618E-03
              262.5E-03           97.6658           -97.6501             4.1457E-03 
              263.751E-03         98.8419           -98.8262             4.19565E-03
              265.002E-03        100.025           -100.009              4.24591E-03
              266.25E-03         101.213           -101.197              4.29633E-03
              267.501E-03        102.41            -102.395              4.3472E-03 
              268.752E-03        103.615           -103.599              4.39837E-03
              270.003E-03        104.827           -104.811              4.44984E-03
              271.251E-03        106.042           -106.027              4.50146E-03
              272.502E-03        107.268           -107.253              4.55353E-03
              273.753E-03        108.501           -108.486              4.6059E-03 
              275.001E-03        109.738           -109.723              4.65843E-03
              276.252E-03        110.985           -110.97               4.7114E-03 
              277.503E-03        112.239           -112.224              4.76467E-03
              278.751E-03        113.497           -113.482              4.81808E-03
              280.001E-03        114.765           -114.75               4.87193E-03
              281.252E-03        116.04            -116.025              4.92608E-03
              282.5E-03          117.319           -117.303              4.98039E-03
              283.751E-03        118.607           -118.592              5.03512E-03
              285.002E-03        119.903           -119.888              5.09015E-03
              286.25E-03         121.202           -121.187              5.14533E-03
              287.501E-03        122.511           -122.496              5.20093E-03
              288.752E-03        123.827           -123.812              5.25683E-03
              290.003E-03        125.15            -125.135              5.31301E-03
              291.251E-03        126.476           -126.461              5.36936E-03
              292.502E-03        127.813           -127.798              5.42611E-03
              293.753E-03        129.156           -129.141              5.48315E-03
              295.001E-03        130.502           -130.487              5.54033E-03
              296.252E-03        131.858           -131.844              5.59795E-03
              297.503E-03        133.221           -133.207              5.65583E-03
              298.75E-03         134.587           -134.573              5.71387E-03
              300.001E-03        135.964           -135.949              5.77233E-03
              301.252E-03        137.346           -137.332              5.83106E-03
              302.5E-03          138.732           -138.718              5.88992E-03
              303.751E-03        140.128           -140.114              5.9492E-03 
              305.002E-03        141.531           -141.516              6.00878E-03
              306.25E-03         142.936           -142.922              6.06847E-03
              307.501E-03        144.351           -144.337              6.12857E-03
              308.752E-03        145.773           -145.759              6.18897E-03
              310.003E-03        147.201           -147.187              6.24961E-03
              311.251E-03        148.631           -148.618              6.3104E-03 
              312.502E-03        150.072           -150.058              6.37158E-03
              313.753E-03        151.519           -151.505              6.43305E-03
              315.001E-03        152.969           -152.955              6.4946E-03 
              316.252E-03        154.428           -154.415              6.55662E-03
              317.503E-03        155.894           -155.88               6.61886E-03
              318.75E-03         157.362           -157.349              6.68124E-03
              320.001E-03        158.84            -158.827              6.74403E-03
              321.252E-03        160.325           -160.311              6.80705E-03
              322.5E-03          161.811           -161.798              6.87021E-03
              323.751E-03        163.307           -163.294              6.93375E-03
              325.002E-03        164.81            -164.796              6.99758E-03
              326.253E-03        166.318           -166.305              7.06166E-03
              327.501E-03        167.829           -167.816              7.1258E-03 
              328.752E-03        169.349           -169.336              7.19039E-03
              330.003E-03        170.875           -170.862              7.25521E-03
              331.251E-03        172.403           -172.39               7.32011E-03
              332.502E-03        173.941           -173.928              7.38545E-03
              333.753E-03        175.485           -175.472              7.45102E-03
              335.E-03           177.03            -177.018              7.51668E-03
              336.251E-03        178.586           -178.573              7.58274E-03
              337.502E-03        180.147           -180.134              7.64905E-03
              338.75E-03         181.71            -181.697              7.71541E-03
              340.001E-03        183.282           -183.269              7.78222E-03
              341.252E-03        184.86            -184.847              7.84923E-03
              342.5E-03          186.439           -186.427              7.91633E-03
              343.751E-03        188.028           -188.016              7.98382E-03
              345.002E-03        189.623           -189.611              8.05157E-03
              346.253E-03        191.223           -191.211              8.11952E-03
              347.501E-03        192.824           -192.812              8.18753E-03
              348.752E-03        194.435           -194.423              8.25596E-03
              350.003E-03        196.051           -196.039              8.32462E-03
              351.251E-03        197.668           -197.657              8.39334E-03
              352.502E-03        199.296           -199.284              8.46243E-03
              353.753E-03        200.928           -200.916              8.53175E-03
              355.E-03           202.561           -202.55               8.60114E-03
              356.251E-03        204.204           -204.192              8.67093E-03
              357.502E-03        205.851           -205.84               8.74091E-03
              358.75E-03         207.5             -207.489              8.81094E-03
              360.001E-03        209.158           -209.147              8.88134E-03
              361.252E-03        210.821           -210.81               8.95201E-03
              362.503E-03        212.489           -212.478              9.02285E-03
              363.751E-03        214.157           -214.147              9.09375E-03
