
                             RF1_thick_forca_1  U1_thick_ forca_1
                  X               e5_apoio           e5_aplic    

              297.502E-03        129.274             -5.62646E-03
              298.754E-03        130.607             -5.68453E-03
              300.006E-03        131.948             -5.74289E-03
              301.257E-03        133.295             -5.80153E-03
              302.509E-03        134.648             -5.86044E-03
              303.751E-03        135.996             -5.91914E-03
              305.002E-03        137.361             -5.97859E-03
              306.254E-03        138.732             -6.0383E-03 
              307.506E-03        140.109             -6.09827E-03
              308.757E-03        141.492             -6.1585E-03 
              310.009E-03        142.88              -6.21899E-03
              311.251E-03        144.263             -6.27926E-03
              312.503E-03        145.663             -6.34027E-03
              313.754E-03        147.068             -6.40153E-03
              315.006E-03        148.48              -6.46306E-03
              316.258E-03        149.898             -6.52485E-03
              317.509E-03        151.321             -6.5869E-03 
              318.751E-03        152.74              -6.64873E-03
              320.003E-03        154.176             -6.71131E-03
              321.254E-03        155.618             -6.77417E-03
              322.506E-03        157.066             -6.8373E-03 
              323.758E-03        158.521             -6.90069E-03
              325.009E-03        159.982             -6.96436E-03
              326.251E-03        161.438             -7.02777E-03
              327.503E-03        162.912             -7.09197E-03
              328.755E-03        164.392             -7.15643E-03
              330.006E-03        165.878             -7.22115E-03
              331.258E-03        167.37              -7.28613E-03
              332.51E-03         168.867             -7.35135E-03
              333.751E-03        170.358             -7.41631E-03
              335.003E-03        171.867             -7.48203E-03
              336.255E-03        173.382             -7.54799E-03
              337.506E-03        174.901             -7.61418E-03
              338.758E-03        176.426             -7.68061E-03
              340.01E-03         177.956             -7.74727E-03
              341.252E-03        179.479             -7.81362E-03
              342.503E-03        181.019             -7.88072E-03
              343.755E-03        182.564             -7.94805E-03
              345.007E-03        184.113             -8.01561E-03
              346.258E-03        185.668             -8.08339E-03
              347.5E-03          187.215             -8.15085E-03
              348.752E-03        188.78              -8.21907E-03
              350.003E-03        190.35              -8.28753E-03
              351.255E-03        191.926             -8.35621E-03
              352.507E-03        193.506             -8.42512E-03
              353.758E-03        195.092             -8.49427E-03
              355.E-03           196.671             -8.56309E-03
              356.252E-03        198.268             -8.63269E-03
              357.504E-03        199.87              -8.70253E-03
              358.755E-03        201.477             -8.77259E-03
              360.007E-03        203.091             -8.84289E-03
              361.259E-03        204.709             -8.91341E-03
              362.5E-03          206.32              -8.98359E-03
              363.752E-03        207.949             -9.05455E-03
              365.004E-03        209.582             -9.12573E-03
              366.255E-03        211.221             -9.19712E-03
              367.507E-03        212.864             -9.26872E-03
              368.759E-03        214.512             -9.34051E-03
              370.001E-03        216.151             -9.41193E-03
              371.252E-03        217.808             -9.48412E-03
              372.504E-03        219.469             -9.5565E-03 
              373.756E-03        221.134             -9.62906E-03
              375.007E-03        222.803             -9.7018E-03 
              376.259E-03        224.475             -9.77474E-03
              377.501E-03        226.139             -9.84727E-03
              378.752E-03        227.82              -9.92056E-03
              380.004E-03        229.504             -9.99404E-03
              381.256E-03        231.194            -10.0677E-03 
              382.507E-03        232.887            -10.1415E-03 
              383.759E-03        234.584            -10.2156E-03 
              385.001E-03        236.272            -10.2892E-03 
              386.253E-03        237.978            -10.3636E-03 
              387.504E-03        239.689            -10.4382E-03 
              388.756E-03        241.403            -10.5129E-03 
              390.008E-03        243.122            -10.5879E-03 
              391.259E-03        244.846            -10.663E-03  
              392.501E-03        246.56             -10.7378E-03 
              393.753E-03        248.292            -10.8133E-03 
              395.004E-03        250.029            -10.889E-03  
              396.256E-03        251.77             -10.9648E-03 
              397.508E-03        253.515            -11.0409E-03 
              398.76E-03         255.263            -11.1171E-03 
              400.001E-03        257.001            -11.1928E-03 
              401.253E-03        258.758            -11.2694E-03 
              402.505E-03        260.517            -11.3461E-03 
              403.756E-03        262.28             -11.4229E-03 
              405.008E-03        264.045            -11.4999E-03 
              406.26E-03         265.815            -11.577E-03  
              407.501E-03        267.573            -11.6536E-03 
              408.753E-03        269.347            -11.731E-03  
              410.005E-03        271.125            -11.8085E-03 
              411.256E-03        272.906            -11.8862E-03 
              412.508E-03        274.689            -11.964E-03  
              413.76E-03         276.476            -12.0419E-03 
              415.002E-03        278.251            -12.1194E-03 
              416.253E-03        280.044            -12.1976E-03 
              417.505E-03        281.84             -12.2759E-03 
              418.757E-03        283.639            -12.3544E-03 
              420.008E-03        285.441            -12.433E-03  
              421.25E-03         287.232            -12.5111E-03 
              422.502E-03        289.04             -12.59E-03   
              423.753E-03        290.852            -12.669E-03  
              425.005E-03        292.667            -12.7482E-03 
              426.257E-03        294.486            -12.8275E-03 
              427.509E-03        296.308            -12.9069E-03 
              428.75E-03         298.118            -12.9858E-03 
              430.002E-03        299.946            -13.0655E-03 
              431.254E-03        301.776            -13.1453E-03 
              432.505E-03        303.609            -13.2252E-03 
              433.757E-03        305.445            -13.3053E-03 
              435.009E-03        307.283            -13.3854E-03 
              436.25E-03         309.109            -13.465E-03  
              437.502E-03        310.951            -13.5453E-03 
              438.754E-03        312.796            -13.6258E-03 
              440.005E-03        314.642            -13.7063E-03 
              441.257E-03        316.49             -13.7869E-03 
              442.509E-03        318.34             -13.8676E-03 
              443.751E-03        320.176            -13.9477E-03 
              445.002E-03        322.03             -14.0285E-03 
              446.254E-03        323.885            -14.1095E-03 
              447.506E-03        325.741            -14.1905E-03 
              448.757E-03        327.6              -14.2716E-03 
              450.009E-03        329.46             -14.3528E-03 
              451.251E-03        331.308            -14.4334E-03 
              452.502E-03        333.172            -14.5147E-03 
              453.754E-03        335.039            -14.5962E-03 
              455.006E-03        336.908            -14.6777E-03 
              456.258E-03        338.778            -14.7593E-03 
              457.509E-03        340.651            -14.841E-03  
              458.751E-03        342.51             -14.9221E-03 
              460.003E-03        344.387            -15.004E-03  
              461.254E-03        346.266            -15.0859E-03 
              462.506E-03        348.146            -15.1679E-03 
              463.758E-03        350.028            -15.25E-03   
              465.009E-03        351.912            -15.3321E-03 
              466.251E-03        353.782            -15.4137E-03 
              467.503E-03        355.669            -15.496E-03  
              468.754E-03        357.556            -15.5783E-03 
              470.006E-03        359.444            -15.6606E-03 
              471.258E-03        361.333            -15.743E-03  
              472.51E-03         363.223            -15.8254E-03 
              473.751E-03        365.098            -15.9073E-03 
              475.003E-03        366.989            -15.9898E-03 
              476.255E-03        368.881            -16.0723E-03 
              477.506E-03        370.773            -16.1549E-03 
              478.758E-03        372.666            -16.2374E-03 
              480.01E-03         374.558            -16.3201E-03 
              481.251E-03        376.437            -16.402E-03  
              482.503E-03        378.331            -16.4847E-03 
              483.755E-03        380.226            -16.5674E-03 
              485.006E-03        382.121            -16.6502E-03 
              486.258E-03        384.018            -16.7329E-03 
              487.51E-03         385.915            -16.8157E-03 
              488.752E-03        387.798            -16.8979E-03 
              490.003E-03        389.697            -16.9808E-03 
              491.255E-03        391.596            -17.0636E-03 
              492.507E-03        393.496            -17.1466E-03 
              493.758E-03        395.397            -17.2295E-03 
              495.E-03           397.284            -17.3118E-03 
              496.252E-03        399.186            -17.3948E-03 
              497.503E-03        401.089            -17.4778E-03 
              498.755E-03        402.992            -17.5608E-03 
              500.007E-03        404.894            -17.6438E-03 
              501.258E-03        406.797            -17.7268E-03 
              502.5E-03          408.684            -17.8091E-03 
              503.752E-03        410.586            -17.8921E-03 
              505.004E-03        412.488            -17.9751E-03 
              506.255E-03        414.389            -18.058E-03  
              507.507E-03        416.289            -18.1409E-03 
              508.759E-03        418.189            -18.2238E-03 
              510.E-03           420.073            -18.3061E-03 
              511.252E-03        421.971            -18.3889E-03 
              512.504E-03        423.869            -18.4718E-03 
              513.755E-03        425.765            -18.5546E-03 
              515.007E-03        427.661            -18.6373E-03 
              516.259E-03        429.556            -18.7201E-03 
              517.501E-03        431.435            -18.8022E-03 
              518.752E-03        433.33             -18.8849E-03 
              520.004E-03        435.224            -18.9675E-03 
              521.256E-03        437.117            -19.0502E-03 
              522.507E-03        439.01             -19.1328E-03 
              523.759E-03        440.903            -19.2154E-03 
              525.001E-03        442.779            -19.2973E-03 
              526.252E-03        444.671            -19.3799E-03 
              527.504E-03        446.561            -19.4624E-03 
              528.756E-03        448.451            -19.5449E-03 
              530.008E-03        450.34             -19.6273E-03 
              531.259E-03        452.229            -19.7097E-03 
              532.501E-03        454.101            -19.7914E-03 
              533.753E-03        455.987            -19.8737E-03 
              535.004E-03        457.872            -19.9559E-03 
              536.256E-03        459.755            -20.0381E-03 
              537.508E-03        461.635            -20.1202E-03 
              538.759E-03        463.515            -20.2022E-03 
              540.001E-03        465.378            -20.2835E-03 
              541.253E-03        467.253            -20.3654E-03 
              542.504E-03        469.127            -20.4472E-03 
              543.756E-03        470.999            -20.529E-03  
              545.008E-03        472.869            -20.6106E-03 
              546.26E-03         474.737            -20.6922E-03 
              547.501E-03        476.588            -20.773E-03  
              548.753E-03        478.452            -20.8544E-03 
              550.005E-03        480.314            -20.9357E-03 
              551.256E-03        482.173            -21.017E-03  
              552.508E-03        484.032            -21.0982E-03 
              553.76E-03         485.889            -21.1792E-03 
              555.001E-03        487.73             -21.2596E-03 
              556.253E-03        489.583            -21.3405E-03 
              557.505E-03        491.435            -21.4214E-03 
              558.756E-03        493.285            -21.5021E-03 
              560.008E-03        495.132            -21.5828E-03 
              561.26E-03         496.979            -21.6634E-03 
              562.502E-03        498.808            -21.7433E-03 
              563.753E-03        500.65             -21.8237E-03 
              565.005E-03        502.49             -21.904E-03  
              566.257E-03        504.328            -21.9842E-03 
              567.508E-03        506.163            -22.0643E-03 
              568.75E-03         507.981            -22.1436E-03 
              570.002E-03        509.81             -22.2235E-03 
              571.253E-03        511.636            -22.3032E-03 
              572.505E-03        513.46             -22.3829E-03 
              573.757E-03        515.28             -22.4623E-03 
              575.008E-03        517.097            -22.5417E-03 
              576.25E-03         518.897            -22.6203E-03 
              577.502E-03        520.708            -22.6994E-03 
              578.754E-03        522.516            -22.7783E-03 
              580.005E-03        524.32             -22.8572E-03 
              581.257E-03        526.121            -22.9359E-03 
              582.509E-03        527.919            -23.0144E-03 
              583.75E-03         529.7              -23.0922E-03 
              585.002E-03        531.492            -23.1705E-03 
              586.254E-03        533.282            -23.2487E-03 
              587.505E-03        535.069            -23.3267E-03 
              588.757E-03        536.852            -23.4046E-03 
              590.009E-03        538.633            -23.4824E-03 
              591.251E-03        540.396            -23.5594E-03 
              592.502E-03        542.171            -23.6369E-03 
              593.754E-03        543.942            -23.7143E-03 
              595.006E-03        545.711            -23.7915E-03 
              596.257E-03        547.476            -23.8686E-03 
              597.509E-03        549.239            -23.9456E-03 
              598.751E-03        550.983            -24.0217E-03 
              600.002E-03        552.738            -24.0984E-03 
              601.254E-03        554.49             -24.1748E-03 
              602.506E-03        556.237            -24.2511E-03 
              603.758E-03        557.98             -24.3273E-03 
              605.009E-03        559.719            -24.4032E-03 
              606.251E-03        561.441            -24.4784E-03 
              607.503E-03        563.171            -24.554E-03  
              608.754E-03        564.898            -24.6294E-03 
              610.006E-03        566.62             -24.7047E-03 
              611.258E-03        568.339            -24.7797E-03 
              612.509E-03        570.052            -24.8546E-03 
              613.751E-03        571.747            -24.9287E-03 
              615.003E-03        573.452            -25.0032E-03 
              616.254E-03        575.153            -25.0775E-03 
              617.506E-03        576.85             -25.1517E-03 
              618.758E-03        578.542            -25.2257E-03 
              620.01E-03         580.231            -25.2994E-03 
              621.251E-03        581.902            -25.3725E-03 
              622.503E-03        583.583            -25.4459E-03 
              623.755E-03        585.26             -25.5192E-03 
              625.006E-03        586.932            -25.5922E-03 
              626.258E-03        588.601            -25.6651E-03 
              627.51E-03         590.265            -25.7378E-03 
              628.751E-03        591.912            -25.8098E-03 
              630.003E-03        593.568            -25.8821E-03 
              631.255E-03        595.219            -25.9542E-03 
              632.506E-03        596.866            -26.0261E-03 
              633.758E-03        598.508            -26.0979E-03 
              635.01E-03         600.145            -26.1694E-03 
              636.252E-03        601.765            -26.2401E-03 
              637.503E-03        603.392            -26.3112E-03 
              638.755E-03        605.014            -26.382E-03  
              640.007E-03        606.63             -26.4527E-03 
              641.258E-03        608.241            -26.5231E-03 
              642.5E-03          609.835            -26.5927E-03 
              643.752E-03        611.436            -26.6627E-03 
              645.003E-03        613.032            -26.7324E-03 
              646.255E-03        614.621            -26.8019E-03 
              647.507E-03        616.206            -26.8712E-03 
              648.759E-03        617.786            -26.9403E-03 
              650.E-03           619.348            -27.0086E-03 
              651.252E-03        620.917            -27.0772E-03 
              652.504E-03        622.481            -27.1456E-03 
              653.755E-03        624.041            -27.2137E-03 
              655.007E-03        625.595            -27.2817E-03 
              656.259E-03        627.144            -27.3494E-03 
              657.5E-03          628.677            -27.4164E-03 
              658.752E-03        630.216            -27.4836E-03 
              660.004E-03        631.75             -27.5507E-03 
              661.255E-03        633.279            -27.6175E-03 
              662.507E-03        634.803            -27.6841E-03 
              663.759E-03        636.321            -27.7505E-03 
              665.001E-03        637.823            -27.816E-03  
              666.252E-03        639.331            -27.8819E-03 
              667.504E-03        640.833            -27.9475E-03 
              668.756E-03        642.329            -28.0129E-03 
              670.007E-03        643.819            -28.078E-03  
              671.259E-03        645.304            -28.1429E-03 
              672.501E-03        646.769            -28.207E-03  
              673.752E-03        648.241            -28.2713E-03 
              675.004E-03        649.707            -28.3354E-03 
              676.256E-03        651.166            -28.3992E-03 
              677.508E-03        652.62             -28.4628E-03 
              678.759E-03        654.067            -28.526E-03  
              680.001E-03        655.497            -28.5886E-03 
              681.253E-03        656.932            -28.6513E-03 
              682.504E-03        658.36             -28.7138E-03 
              683.756E-03        659.783            -28.776E-03  
              685.008E-03        661.2              -28.838E-03  
              686.259E-03        662.611            -28.8997E-03 
              687.501E-03        664.004            -28.9607E-03 
              688.753E-03        665.404            -29.0219E-03 
