
                             RF1_thin_forca_1e  U1_thin_forca_1e5
                  X               5_apoio             _aplic     

              671.256E-03        645.436            -21.4055E-03 
              672.511E-03        646.914            -21.4547E-03 
              673.755E-03        648.371            -21.5032E-03 
              675.01E-03         649.835            -21.5519E-03 
              676.253E-03        651.282            -21.6001E-03 
              677.508E-03        652.737            -21.6484E-03 
              678.752E-03        654.173            -21.6962E-03 
              680.007E-03        655.616            -21.7442E-03 
              681.251E-03        657.041            -21.7916E-03 
              682.506E-03        658.474            -21.8392E-03 
              683.75E-03         659.889            -21.8863E-03 
              685.005E-03        661.313            -21.9336E-03 
              686.26E-03         662.733            -21.9808E-03 
              687.504E-03        664.135            -22.0273E-03 
              688.759E-03        665.545            -22.0741E-03 
              690.003E-03        666.936            -22.1202E-03 
              691.258E-03        668.332            -22.1666E-03 
              692.502E-03        669.711            -22.2124E-03 
              693.757E-03        671.093            -22.2583E-03 
              695.E-03           672.457            -22.3036E-03 
              696.255E-03        673.827            -22.3491E-03 
              697.511E-03        675.19             -22.3943E-03 
              698.754E-03        676.532            -22.4389E-03 
              700.009E-03        677.878            -22.4837E-03 
              701.253E-03        679.204            -22.5278E-03 
              702.508E-03        680.534            -22.5721E-03 
              703.752E-03        681.845            -22.6158E-03 
              705.007E-03        683.162            -22.6597E-03 
              706.251E-03        684.461            -22.7029E-03 
              707.506E-03        685.766            -22.7463E-03 
              708.761E-03        687.066            -22.7895E-03 
              710.005E-03        688.347            -22.8322E-03 
              711.26E-03         689.634            -22.875E-03  
              712.504E-03        690.904            -22.9172E-03 
              713.759E-03        692.18             -22.9597E-03 
              715.003E-03        693.441            -23.0016E-03 
              716.258E-03        694.707            -23.0436E-03 
              717.501E-03        695.957            -23.0851E-03 
              718.756E-03        697.212            -23.1267E-03 
              720.E-03           698.449            -23.1678E-03 
              721.255E-03        699.689            -23.209E-03  
              722.51E-03         700.921            -23.25E-03   
              723.754E-03        702.135            -23.2903E-03 
              725.009E-03        703.354            -23.3308E-03 
              726.253E-03        704.553            -23.3706E-03 
              727.508E-03        705.756            -23.4106E-03 
              728.752E-03        706.939            -23.4499E-03 
              730.007E-03        708.124            -23.4894E-03 
              731.251E-03        709.29             -23.5282E-03 
              732.506E-03        710.459            -23.5672E-03 
              733.761E-03        711.621            -23.6059E-03 
              735.005E-03        712.765            -23.644E-03  
              736.26E-03         713.914            -23.6823E-03 
              737.504E-03        715.047            -23.7199E-03 
              738.759E-03        716.182            -23.7578E-03 
              740.002E-03        717.303            -23.795E-03  
              741.258E-03        718.426            -23.8324E-03 
              742.501E-03        719.534            -23.8693E-03 
              743.756E-03        720.646            -23.9063E-03 
              745.E-03           721.743            -23.9428E-03 
              746.255E-03        722.845            -23.9793E-03 
              747.51E-03         723.939            -24.0157E-03 
              748.754E-03        725.017            -24.0514E-03 
              750.009E-03        726.098            -24.0873E-03 
              751.253E-03        727.16             -24.1227E-03 
              752.508E-03        728.225            -24.158E-03  
              753.752E-03        729.271            -24.1929E-03 
              755.007E-03        730.32             -24.2277E-03 
              756.251E-03        731.351            -24.262E-03  
              757.506E-03        732.384            -24.2963E-03 
              758.761E-03        733.407            -24.3304E-03 
              760.005E-03        734.412            -24.3639E-03 
              761.26E-03         735.417            -24.3974E-03 
              762.503E-03        736.406            -24.4304E-03 
              763.758E-03        737.397            -24.4634E-03 
              765.002E-03        738.373            -24.4959E-03 
              766.257E-03        739.35             -24.5285E-03 
              767.501E-03        740.313            -24.5606E-03 
              768.756E-03        741.278            -24.5927E-03 
              770.E-03           742.227            -24.6243E-03 
              771.255E-03        743.179            -24.656E-03  
              772.51E-03         744.125            -24.6875E-03 
              773.754E-03        745.056            -24.7185E-03 
              775.009E-03        745.991            -24.7495E-03 
              776.253E-03        746.912            -24.7801E-03 
              777.508E-03        747.834            -24.8107E-03 
              778.752E-03        748.738            -24.8407E-03 
              780.007E-03        749.643            -24.8708E-03 
              781.251E-03        750.533            -24.9004E-03 
              782.506E-03        751.422            -24.93E-03   
              783.761E-03        752.303            -24.9593E-03 
