
                             RF1_desl_1e6_rsd_  RF1_desl_1e6_rsd_  U1_desl_1e6_rsd_m                                      
                  X            meio_PrendeSet      meio_PuxaSet       eio_PuxaSet          desl ie            desl ke     
              326.259E-03          1.08582E+03       -1.0669E+03       -42.3663E-03             NoValue            NoValue
              327.503E-03          1.09158E+03       -1.07187E+03      -42.577E-03              NoValue            NoValue
              328.773E-03          1.0974E+03        -1.07689E+03      -42.7907E-03             NoValue            NoValue
              330.017E-03          1.10306E+03       -1.08178E+03      -42.9986E-03        23.5602           215.431E-03  
              331.261E-03          1.10867E+03       -1.08661E+03      -43.2052E-03             NoValue            NoValue
              332.505E-03          1.11424E+03       -1.0914E+03       -43.4102E-03             NoValue            NoValue
              333.775E-03          1.11986E+03       -1.09623E+03      -43.6175E-03             NoValue            NoValue
              335.019E-03          1.12531E+03       -1.10091E+03      -43.8194E-03        24.4684           203.018E-03  
              336.263E-03          1.1307E+03        -1.10555E+03      -44.0197E-03             NoValue            NoValue
              337.507E-03          1.13604E+03       -1.11015E+03      -44.2188E-03             NoValue            NoValue
              338.752E-03          1.14132E+03       -1.11472E+03      -44.4157E-03             NoValue            NoValue
              340.021E-03          1.14665E+03       -1.11935E+03      -44.6155E-03        25.3654           189.506E-03  
              341.265E-03          1.15181E+03       -1.12385E+03      -44.8093E-03             NoValue            NoValue
              342.51E-03           1.15691E+03       -1.12833E+03      -45.0018E-03             NoValue            NoValue
              343.754E-03          1.16195E+03       -1.13279E+03      -45.1925E-03             NoValue            NoValue
              345.023E-03          1.16703E+03       -1.13732E+03      -45.3854E-03        26.2486           175.107E-03  
              346.268E-03          1.17195E+03       -1.14175E+03      -45.5725E-03             NoValue            NoValue
              347.512E-03          1.1768E+03        -1.14618E+03      -45.7583E-03             NoValue            NoValue
              348.756E-03          1.1816E+03        -1.15061E+03      -45.9423E-03             NoValue            NoValue
              350.E-03             1.18634E+03       -1.15505E+03      -46.1247E-03        27.1108           160.324E-03  
              351.27E-03           1.1911E+03        -1.15959E+03      -46.3088E-03             NoValue            NoValue
              352.514E-03          1.19571E+03       -1.16405E+03      -46.4878E-03             NoValue            NoValue
              353.758E-03          1.20024E+03       -1.16852E+03      -46.665E-03              NoValue            NoValue
              355.002E-03          1.20472E+03       -1.17298E+03      -46.84E-03          27.9581           145.641E-03  
              356.272E-03          1.20921E+03       -1.17753E+03      -47.0172E-03             NoValue            NoValue
              357.516E-03          1.21355E+03       -1.18198E+03      -47.1888E-03             NoValue            NoValue
              358.76E-03           1.21782E+03       -1.18642E+03      -47.3587E-03             NoValue            NoValue
              360.004E-03          1.22202E+03       -1.19084E+03      -47.5271E-03        28.7838           131.711E-03  
              361.274E-03          1.22624E+03       -1.19533E+03      -47.6964E-03             NoValue            NoValue
              362.518E-03          1.23031E+03       -1.19972E+03      -47.8611E-03             NoValue            NoValue
              363.762E-03          1.23431E+03       -1.20407E+03      -48.0234E-03             NoValue            NoValue
              365.007E-03          1.23825E+03       -1.20839E+03      -48.1843E-03        29.5853           118.871E-03  
              366.251E-03          1.24212E+03       -1.21267E+03      -48.3434E-03             NoValue            NoValue
              367.52E-03           1.24602E+03       -1.21699E+03      -48.5037E-03             NoValue            NoValue
              368.764E-03          1.24977E+03       -1.22117E+03      -48.6584E-03             NoValue            NoValue
              370.009E-03          1.25347E+03       -1.2253E+03       -48.8118E-03        30.3604           107.232E-03  
              371.253E-03          1.25711E+03       -1.22937E+03      -48.9633E-03             NoValue            NoValue
              372.522E-03          1.26076E+03       -1.23346E+03      -49.1155E-03             NoValue            NoValue
              373.767E-03          1.26429E+03       -1.2374E+03       -49.263E-03              NoValue            NoValue
              375.011E-03          1.26777E+03       -1.24129E+03      -49.4088E-03        31.1071            96.6852E-03 
              376.255E-03          1.2712E+03        -1.24512E+03      -49.5523E-03             NoValue            NoValue
              377.525E-03          1.27463E+03       -1.24897E+03      -49.697E-03              NoValue            NoValue
              378.769E-03          1.27794E+03       -1.25268E+03      -49.8369E-03             NoValue            NoValue
              380.013E-03          1.2812E+03        -1.25633E+03      -49.9745E-03        31.8234            87.0597E-03 
              381.257E-03          1.28441E+03       -1.25992E+03      -50.1105E-03             NoValue            NoValue
              382.501E-03          1.28758E+03       -1.26344E+03      -50.2444E-03             NoValue            NoValue
              383.771E-03          1.29076E+03       -1.26696E+03      -50.379E-03              NoValue            NoValue
              385.015E-03          1.29384E+03       -1.27035E+03      -50.5091E-03        32.5075            78.2032E-03 
              386.259E-03          1.29688E+03       -1.27367E+03      -50.6371E-03             NoValue            NoValue
              387.503E-03          1.2999E+03        -1.27692E+03      -50.7632E-03             NoValue            NoValue
              388.773E-03          1.30295E+03       -1.28018E+03      -50.8899E-03             NoValue            NoValue
              390.017E-03          1.30592E+03       -1.28331E+03      -51.012E-03         33.1578            69.9557E-03 
              391.261E-03          1.30888E+03       -1.28638E+03      -51.1321E-03             NoValue            NoValue
              392.506E-03          1.31183E+03       -1.28938E+03      -51.2503E-03             NoValue            NoValue
              393.775E-03          1.31484E+03       -1.29238E+03      -51.3687E-03             NoValue            NoValue
              395.019E-03          1.31778E+03       -1.29525E+03      -51.4831E-03        33.7729            62.2014E-03 
              396.264E-03          1.32072E+03       -1.29805E+03      -51.5951E-03             NoValue            NoValue
              397.508E-03          1.32365E+03       -1.30078E+03      -51.7055E-03             NoValue            NoValue
              398.752E-03          1.32658E+03       -1.30344E+03      -51.8138E-03             NoValue            NoValue
              400.022E-03          1.32955E+03       -1.3061E+03       -51.922E-03         34.3515            54.832E-03  
              401.266E-03          1.33244E+03       -1.30865E+03      -52.0266E-03             NoValue            NoValue
              402.51E-03           1.33531E+03       -1.31113E+03      -52.1287E-03             NoValue            NoValue
              403.754E-03          1.33816E+03       -1.31356E+03      -52.229E-03              NoValue            NoValue
              405.024E-03          1.34102E+03       -1.31597E+03      -52.3298E-03        34.8928            47.7626E-03 
              406.268E-03          1.34378E+03       -1.31828E+03      -52.426E-03              NoValue            NoValue
              407.512E-03          1.3465E+03        -1.32053E+03      -52.5206E-03             NoValue            NoValue
              408.756E-03          1.34916E+03       -1.32271E+03      -52.6131E-03             NoValue            NoValue
              410.E-03             1.35177E+03       -1.32483E+03      -52.7038E-03        35.3935            40.9943E-03 
              411.27E-03           1.35437E+03       -1.32693E+03      -52.7941E-03             NoValue            NoValue
              412.514E-03          1.35685E+03       -1.32894E+03      -52.881E-03              NoValue            NoValue
              413.758E-03          1.35928E+03       -1.3309E+03       -52.9654E-03             NoValue            NoValue
              415.003E-03          1.36163E+03       -1.33281E+03      -53.0484E-03        35.8582            34.4478E-03 
              416.272E-03          1.36397E+03       -1.33472E+03      -53.1311E-03             NoValue            NoValue
              417.516E-03          1.36619E+03       -1.33655E+03      -53.2101E-03             NoValue            NoValue
              418.76E-03           1.36834E+03       -1.33834E+03      -53.2873E-03             NoValue            NoValue
              420.005E-03          1.37042E+03       -1.34009E+03      -53.3625E-03        36.284             28.2275E-03 
              421.274E-03          1.37247E+03       -1.34183E+03      -53.4374E-03             NoValue            NoValue
              422.518E-03          1.37441E+03       -1.34348E+03      -53.5088E-03             NoValue            NoValue
              423.763E-03          1.37629E+03       -1.34509E+03      -53.5782E-03             NoValue            NoValue
              425.007E-03          1.37809E+03       -1.34668E+03      -53.6461E-03        36.671             22.4387E-03 
              426.251E-03          1.37983E+03       -1.34823E+03      -53.7121E-03             NoValue            NoValue
