
                             RF1_forca_1e6_Pre  U1_forca_1e6_Puxa
                  X                ndeSet              Set       

              477.517E-03        636.034            -25.0358E-03 
              478.761E-03        639.395            -25.1662E-03 
              480.005E-03        642.759            -25.2966E-03 
              481.275E-03        646.196            -25.4299E-03 
              482.519E-03        649.568            -25.5606E-03 
              483.763E-03        652.941            -25.6914E-03 
              485.007E-03        656.319            -25.8223E-03 
              486.251E-03        659.698            -25.9533E-03 
              487.521E-03        663.148            -26.0871E-03 
              488.765E-03        666.532            -26.2182E-03 
              490.009E-03        669.916            -26.3494E-03 
              491.253E-03        673.302            -26.4807E-03 
              492.523E-03        676.757            -26.6147E-03 
              493.767E-03        680.144            -26.746E-03  
              495.011E-03        683.532            -26.8774E-03 
              496.256E-03        686.92             -27.0088E-03 
              497.525E-03        690.376            -27.1429E-03 
              498.769E-03        693.763            -27.2743E-03 
              500.014E-03        697.15             -27.4057E-03 
              501.258E-03        700.535            -27.5371E-03 
              502.502E-03        703.92             -27.6685E-03 
              503.772E-03        707.372            -27.8025E-03 
              505.016E-03        710.754            -27.9338E-03 
              506.26E-03         714.134            -28.0651E-03 
              507.504E-03        717.513            -28.1963E-03 
              508.774E-03        720.958            -28.3301E-03 
              510.018E-03        724.332            -28.4612E-03 
              511.262E-03        727.704            -28.5922E-03 
              512.506E-03        731.074            -28.7231E-03 
              513.75E-03         734.44             -28.8539E-03 
              515.02E-03         737.873            -28.9873E-03 
              516.264E-03        741.233            -29.1178E-03 
              517.508E-03        744.59             -29.2483E-03 
              518.753E-03        747.942            -29.3786E-03 
              520.022E-03        751.359            -29.5115E-03 
              521.266E-03        754.703            -29.6416E-03 
              522.51E-03         758.043            -29.7715E-03 
              523.755E-03        761.378            -29.9012E-03 
              525.024E-03        764.775            -30.0335E-03 
              526.268E-03        768.099            -30.1629E-03 
              527.513E-03        771.418            -30.2922E-03 
              528.757E-03        774.731            -30.4213E-03 
              530.001E-03        778.038            -30.5502E-03 
              531.271E-03        781.406            -30.6815E-03 
              532.515E-03        784.7              -30.8101E-03 
              533.759E-03        787.988            -30.9384E-03 
              535.003E-03        791.27             -31.0666E-03 
              536.273E-03        794.612            -31.1972E-03 
              537.517E-03        797.879            -31.3249E-03 
              538.761E-03        801.141            -31.4525E-03 
              540.005E-03        804.396            -31.5798E-03 
              541.275E-03        807.709            -31.7096E-03 
              542.519E-03        810.948            -31.8365E-03 
              543.763E-03        814.181            -31.9632E-03 
              545.007E-03        817.406            -32.0897E-03 
              546.252E-03        820.624            -32.216E-03  
              547.521E-03        823.899            -32.3446E-03 
              548.765E-03        827.101            -32.4704E-03 
              550.01E-03         830.295            -32.5961E-03 
              551.254E-03        833.482            -32.7215E-03 
              552.523E-03        836.726            -32.8492E-03 
              553.768E-03        839.898            -32.9741E-03 
              555.012E-03        843.062            -33.0989E-03 
              556.256E-03        846.218            -33.2234E-03 
              557.5E-03          849.366            -33.3476E-03 
              558.77E-03         852.572            -33.4742E-03 
              560.014E-03        855.707            -33.598E-03  
              561.258E-03        858.834            -33.7216E-03 
              562.502E-03        861.955            -33.8449E-03 
              563.772E-03        865.132            -33.9706E-03 
              565.016E-03        868.24             -34.0935E-03 
              566.26E-03         871.341            -34.2161E-03 
              567.504E-03        874.436            -34.3386E-03 
              568.774E-03        877.589            -34.4633E-03 
              570.018E-03        880.671            -34.5853E-03 
              571.262E-03        883.749            -34.7071E-03 
              572.507E-03        886.82             -34.8287E-03 
              573.751E-03        889.887            -34.95E-03   
              575.02E-03         893.011            -35.0736E-03 
              576.265E-03        896.068            -35.1945E-03 
              577.509E-03        899.119            -35.3152E-03 
              578.753E-03        902.166            -35.4358E-03 
              580.022E-03        905.27             -35.5585E-03 
              581.267E-03        908.307            -35.6786E-03 
              582.511E-03        911.339            -35.7985E-03 
              583.755E-03        914.367            -35.9182E-03 
              585.025E-03        917.453            -36.0401E-03 
              586.269E-03        920.472            -36.1594E-03 
              587.513E-03        923.486            -36.2785E-03 
              588.757E-03        926.496            -36.3974E-03 
              590.001E-03        929.502            -36.5162E-03 
              591.271E-03        932.564            -36.6372E-03 
              592.515E-03        935.562            -36.7555E-03 
              593.759E-03        938.554            -36.8737E-03 
              595.003E-03        941.543            -36.9917E-03 
              596.273E-03        944.589            -37.1119E-03 
              597.517E-03        947.569            -37.2296E-03 
              598.761E-03        950.545            -37.3471E-03 
              600.006E-03        953.517            -37.4644E-03 
              601.275E-03        956.547            -37.5839E-03 
              602.519E-03        959.512            -37.7009E-03 
              603.764E-03        962.473            -37.8177E-03 
              605.008E-03        965.43             -37.9344E-03 
              606.252E-03        968.385            -38.0508E-03 
              607.522E-03        971.396            -38.1695E-03 
              608.766E-03        974.343            -38.2857E-03 
              610.01E-03         977.287            -38.4016E-03 
              611.254E-03        980.229            -38.5174E-03 
              612.524E-03        983.227            -38.6354E-03 
              613.768E-03        986.162            -38.7509E-03 
              615.012E-03        989.094            -38.8662E-03 
              616.256E-03        992.023            -38.9813E-03 
              617.5E-03          994.949            -39.0962E-03 
              618.77E-03         997.931            -39.2133E-03 
              620.014E-03          1.00085E+03      -39.3279E-03 
              621.258E-03          1.00377E+03      -39.4423E-03 
              622.503E-03          1.00668E+03      -39.5565E-03 
              623.772E-03          1.00965E+03      -39.6728E-03 
              625.016E-03          1.01256E+03      -39.7866E-03 
              626.26E-03           1.01546E+03      -39.9003E-03 
              627.505E-03          1.01837E+03      -40.0137E-03 
              628.774E-03          1.02132E+03      -40.1292E-03 
              630.018E-03          1.02422E+03      -40.2422E-03 
              631.263E-03          1.02711E+03      -40.3549E-03 
              632.507E-03          1.02999E+03      -40.4675E-03 
              633.751E-03          1.03288E+03      -40.5798E-03 
              635.021E-03          1.03581E+03      -40.6942E-03 
              636.265E-03          1.03869E+03      -40.8061E-03 
              637.509E-03          1.04156E+03      -40.9178E-03 
              638.753E-03          1.04443E+03      -41.0291E-03 
              640.023E-03          1.04735E+03      -41.1426E-03 
              641.267E-03          1.0502E+03       -41.2535E-03 
              642.511E-03          1.05305E+03      -41.3641E-03 
              643.755E-03          1.0559E+03       -41.4745E-03 
              645.025E-03          1.0588E+03       -41.5868E-03 
              646.269E-03          1.06163E+03      -41.6967E-03 
              647.513E-03          1.06446E+03      -41.8062E-03 
              648.757E-03          1.06728E+03      -41.9155E-03 
              650.002E-03          1.0701E+03       -42.0245E-03 
              651.271E-03          1.07296E+03      -42.1354E-03 
              652.515E-03          1.07576E+03      -42.2437E-03 
              653.76E-03           1.07856E+03      -42.3518E-03 
              655.004E-03          1.08134E+03      -42.4595E-03 
              656.273E-03          1.08417E+03      -42.5691E-03 
              657.518E-03          1.08694E+03      -42.6762E-03 
              658.762E-03          1.0897E+03       -42.7829E-03 
              660.006E-03          1.09244E+03      -42.8893E-03 
              661.25E-03           1.09518E+03      -42.9953E-03 
              662.52E-03           1.09797E+03      -43.1031E-03 
              663.764E-03          1.10069E+03      -43.2084E-03 
              665.008E-03          1.10339E+03      -43.3133E-03 
              666.252E-03          1.10609E+03      -43.4179E-03 
              667.522E-03          1.10883E+03      -43.5241E-03 
              668.766E-03          1.11151E+03      -43.6278E-03 
              670.01E-03           1.11418E+03      -43.7312E-03 
              671.254E-03          1.11683E+03      -43.8341E-03 
              672.524E-03          1.11953E+03      -43.9386E-03 
              673.768E-03          1.12216E+03      -44.0407E-03 
              675.012E-03          1.12478E+03      -44.1423E-03 
              676.257E-03          1.12738E+03      -44.2434E-03 
              677.501E-03          1.12998E+03      -44.3441E-03 
              678.77E-03           1.13262E+03      -44.4465E-03 
              680.014E-03          1.13519E+03      -44.5462E-03 
              681.259E-03          1.13774E+03      -44.6456E-03 
              682.503E-03          1.14029E+03      -44.7443E-03 
              683.772E-03          1.14287E+03      -44.8447E-03 
              685.017E-03          1.14539E+03      -44.9426E-03 
              686.261E-03          1.1479E+03       -45.0399E-03 
              687.505E-03          1.15039E+03      -45.1367E-03 
              688.775E-03          1.15292E+03      -45.2351E-03 
              690.019E-03          1.15539E+03      -45.3309E-03 
              691.263E-03          1.15784E+03      -45.4262E-03 
              692.507E-03          1.16027E+03      -45.521E-03  
              693.751E-03          1.16269E+03      -45.6152E-03 
              695.021E-03          1.16515E+03      -45.7108E-03 
              696.265E-03          1.16754E+03      -45.804E-03  
              697.509E-03          1.16992E+03      -45.8967E-03 
              698.753E-03          1.17228E+03      -45.9888E-03 
              700.023E-03          1.17468E+03      -46.0822E-03 
              701.267E-03          1.17701E+03      -46.1732E-03 
              702.511E-03          1.17932E+03      -46.2637E-03 
              703.756E-03          1.18162E+03      -46.3536E-03 
              705.025E-03          1.18395E+03      -46.4449E-03 
              706.269E-03          1.18622E+03      -46.5337E-03 
              707.514E-03          1.18847E+03      -46.6219E-03 
              708.758E-03          1.19071E+03      -46.7096E-03 
              710.002E-03          1.19292E+03      -46.7968E-03 
              711.272E-03          1.19517E+03      -46.8852E-03 
              712.516E-03          1.19736E+03      -46.9713E-03 
              713.76E-03           1.19953E+03      -47.0568E-03 
              715.004E-03          1.20169E+03      -47.1417E-03 
              716.274E-03          1.20387E+03      -47.2279E-03 
              717.518E-03          1.20599E+03      -47.3117E-03 
              718.762E-03          1.2081E+03       -47.395E-03  
              720.006E-03          1.21019E+03      -47.4778E-03 
              721.25E-03           1.21227E+03      -47.56E-03   
