
                             RF1_desl_1e6_Pren  RF1_desl_1e6_Puxa  U1_desl_1e6_PuxaS
                  X                deSet               Set                 et       

              513.75E-03         738.841           -737.636            -28.9764E-03 
              515.02E-03         742.199           -740.922            -29.1072E-03 
              516.264E-03        745.485           -744.145            -29.2358E-03 
              517.508E-03        748.769           -747.372            -29.3639E-03 
              518.753E-03        752.05            -750.602            -29.4923E-03 
              520.022E-03        755.393           -753.902            -29.623E-03  
              521.266E-03        758.667           -757.138            -29.7511E-03 
              522.51E-03         761.936           -760.378            -29.8792E-03 
              523.755E-03        765.2             -763.621            -30.0073E-03 
              525.024E-03        768.526           -766.933            -30.1377E-03 
              526.268E-03        771.783           -770.181            -30.2657E-03 
              527.513E-03        775.035           -773.432            -30.3935E-03 
              528.757E-03        778.284           -776.687            -30.5213E-03 
              530.001E-03        781.529           -779.944            -30.6489E-03 
              531.271E-03        784.838           -783.269            -30.779E-03  
              532.515E-03        788.077           -786.53             -30.9067E-03 
              533.759E-03        791.312           -789.792            -31.0341E-03 
              535.003E-03        794.544           -793.051            -31.1613E-03 
              536.273E-03        797.838           -796.374            -31.2913E-03 
              537.517E-03        801.064           -799.63             -31.4185E-03 
              538.761E-03        804.287           -802.88             -31.5456E-03 
              540.005E-03        807.506           -806.127            -31.6725E-03 
              541.275E-03        810.788           -809.435            -31.8021E-03 
              542.519E-03        814.003           -812.671            -31.9288E-03 
              543.763E-03        817.214           -815.902            -32.0555E-03 
              545.007E-03        820.424           -819.127            -32.1818E-03 
              546.252E-03        823.63            -822.346            -32.3085E-03 
              547.521E-03        826.898           -825.624            -32.4373E-03 
              548.765E-03        830.098           -828.83             -32.5635E-03 
              550.01E-03         833.296           -832.028            -32.6897E-03 
              551.254E-03        836.492           -835.22             -32.8156E-03 
              552.523E-03        839.75            -838.471            -32.9438E-03 
              553.768E-03        842.942           -841.651            -33.0696E-03 
              555.012E-03        846.133           -844.826            -33.1952E-03 
              556.256E-03        849.325           -847.996            -33.3204E-03 
              557.5E-03          852.515           -851.161            -33.4457E-03 
              558.77E-03         855.77            -854.385            -33.5734E-03 
              560.014E-03        858.959           -857.538            -33.6983E-03 
              561.258E-03        862.15            -860.684            -33.8231E-03 
              562.502E-03        865.339           -863.824            -33.9479E-03 
              563.772E-03        868.594           -867.022            -34.0748E-03 
              565.016E-03        871.786           -870.148            -34.1994E-03 
              566.26E-03         874.977           -873.268            -34.3236E-03 
              567.504E-03        878.17            -876.382            -34.4476E-03 
              568.774E-03        881.428           -879.554            -34.5738E-03 
              570.018E-03        884.621           -882.656            -34.6975E-03 
              571.262E-03        887.813           -885.751            -34.8209E-03 
              572.507E-03        891.005           -888.841            -34.9445E-03 
